,Year,team1,team2,Win_Prob,Win,team1_O,team2_O,Actual_Win
0,2018,MI,CSK,1000,CSK,MI,CSK,CSK
1,2018,DC,KXIP,1000,KXIP,DC,KXIP,KXIP
2,2018,RCB,KKR,1000,KKR,RCB,KKR,KKR
3,2018,RR,SRH,1000,SRH,RR,SRH,SRH
4,2018,KKR,CSK,2000,CSK,KKR,CSK,CSK
5,2018,RR,DC,2000,DC,RR,DC,RR
6,2018,MI,SRH,3000,MI,MI,SRH,SRH
7,2018,KXIP,RCB,3000,RCB,KXIP,RCB,RCB
8,2018,MI,DC,4000,MI,MI,DC,DC
9,2018,KKR,SRH,4000,KKR,KKR,SRH,SRH
10,2018,RR,RCB,4000,RR,RR,RCB,RR
11,2018,KXIP,CSK,4000,KXIP,KXIP,CSK,KXIP
12,2018,KKR,DC,5000,KKR,KKR,DC,KKR
13,2018,MI,RCB,6000,MI,MI,RCB,MI
14,2018,RR,KKR,4000,RR,RR,KKR,KKR
15,2018,KXIP,SRH,6000,KXIP,KXIP,SRH,KXIP
16,2018,CSK,RR,7000,RR,CSK,RR,CSK
17,2018,KKR,KXIP,4000,KKR,KKR,KXIP,KXIP
18,2018,DC,RCB,4000,RCB,DC,RCB,RCB
19,2018,CSK,SRH,4000,SRH,CSK,SRH,CSK
20,2018,MI,RR,5000,RR,MI,RR,RR
21,2018,KXIP,DC,5000,KXIP,KXIP,DC,KXIP
22,2018,SRH,MI,5000,MI,SRH,MI,SRH
23,2018,RCB,CSK,4000,CSK,RCB,CSK,CSK
24,2018,SRH,KXIP,4000,KXIP,SRH,KXIP,SRH
25,2018,DC,KKR,6000,KKR,DC,KKR,DC
26,2018,CSK,MI,5000,MI,CSK,MI,MI
27,2018,SRH,RR,5000,RR,SRH,RR,SRH
28,2018,RCB,KKR,5000,KKR,RCB,KKR,KKR
29,2018,CSK,DC,4000,DC,CSK,DC,CSK
30,2018,RCB,MI,4000,MI,RCB,MI,RCB
31,2018,DC,RR,4000,RR,DC,RR,DC
32,2018,CSK,KKR,4000,KKR,CSK,KKR,KKR
33,2018,KXIP,MI,4000,MI,KXIP,MI,MI
34,2018,RCB,CSK,5000,CSK,RCB,CSK,CSK
35,2018,DC,SRH,3000,SRH,DC,SRH,SRH
36,2018,MI,KKR,4000,KKR,MI,KKR,MI
37,2018,RR,KXIP,4000,KXIP,RR,KXIP,KXIP
38,2018,SRH,RCB,5000,RCB,SRH,RCB,SRH
39,2018,RR,KXIP,4000,KXIP,RR,KXIP,RR
40,2018,MI,KKR,4000,KKR,MI,KKR,MI
41,2018,DC,SRH,3000,SRH,DC,SRH,SRH
42,2018,CSK,RR,3000,RR,CSK,RR,RR
43,2018,KKR,KXIP,4000,KXIP,KKR,KXIP,KKR
44,2018,DC,RCB,4000,RCB,DC,RCB,RCB
45,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK
46,2018,MI,RR,3000,RR,MI,RR,RR
47,2018,KXIP,RCB,3000,RCB,KXIP,RCB,RCB
48,2018,RR,KKR,5000,KKR,RR,KKR,KKR
49,2018,MI,KXIP,5000,MI,MI,KXIP,MI
50,2018,RCB,SRH,4000,SRH,RCB,SRH,RCB
51,2018,DC,CSK,4000,CSK,DC,CSK,DC
52,2018,RR,RCB,4000,RCB,RR,RCB,RR
53,2018,SRH,KKR,3000,KKR,SRH,KKR,KKR
54,2018,DC,MI,4000,DC,DC,MI,DC
55,2018,KXIP,CSK,3000,CSK,KXIP,CSK,CSK
56,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK
57,2018,KKR,RR,4000,KKR,KKR,RR,KKR
58,2018,SRH,KKR,4000,KKR,SRH,KKR,SRH
59,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK
60,2019,RCB,CSK,1000,CSK,RCB,CSK,CSK
61,2019,SRH,KKR,1000,KKR,SRH,KKR,KKR
