,Unnamed: 0,Year,team1,team2,Win_Prob,Win,team1_O,team2_O,Actual_Win,BOOL_DATA
0,0,2018,MI,CSK,1000,CSK,MI,CSK,CSK,True
1,1,2018,DC,KXIP,1000,KXIP,DC,KXIP,KXIP,True
2,2,2018,RCB,KKR,1000,KKR,RCB,KKR,KKR,True
3,3,2018,RR,SRH,1000,SRH,RR,SRH,SRH,True
4,4,2018,KKR,CSK,2000,CSK,KKR,CSK,CSK,True
5,5,2018,RR,DC,2000,DC,RR,DC,RR,False
6,6,2018,MI,SRH,3000,MI,MI,SRH,SRH,False
7,7,2018,KXIP,RCB,3000,RCB,KXIP,RCB,RCB,True
8,8,2018,MI,DC,4000,MI,MI,DC,DC,False
9,9,2018,KKR,SRH,4000,KKR,KKR,SRH,SRH,False
10,10,2018,RR,RCB,4000,RR,RR,RCB,RR,True
11,11,2018,KXIP,CSK,4000,KXIP,KXIP,CSK,KXIP,True
12,12,2018,KKR,DC,5000,KKR,KKR,DC,KKR,True
13,13,2018,MI,RCB,6000,MI,MI,RCB,MI,True
14,14,2018,RR,KKR,4000,RR,RR,KKR,KKR,False
15,15,2018,KXIP,SRH,6000,KXIP,KXIP,SRH,KXIP,True
16,16,2018,CSK,RR,7000,RR,CSK,RR,CSK,False
17,17,2018,KKR,KXIP,4000,KKR,KKR,KXIP,KXIP,False
18,18,2018,DC,RCB,4000,RCB,DC,RCB,RCB,True
19,19,2018,CSK,SRH,4000,SRH,CSK,SRH,CSK,False
20,20,2018,MI,RR,5000,RR,MI,RR,RR,True
21,21,2018,KXIP,DC,5000,KXIP,KXIP,DC,KXIP,True
22,22,2018,SRH,MI,5000,MI,SRH,MI,SRH,False
23,23,2018,RCB,CSK,4000,CSK,RCB,CSK,CSK,True
24,24,2018,SRH,KXIP,4000,KXIP,SRH,KXIP,SRH,False
25,25,2018,DC,KKR,6000,KKR,DC,KKR,DC,False
26,26,2018,CSK,MI,5000,MI,CSK,MI,MI,True
27,27,2018,SRH,RR,5000,RR,SRH,RR,SRH,False
28,28,2018,RCB,KKR,5000,KKR,RCB,KKR,KKR,True
29,29,2018,CSK,DC,4000,DC,CSK,DC,CSK,False
30,30,2018,RCB,MI,4000,MI,RCB,MI,RCB,False
31,31,2018,DC,RR,4000,RR,DC,RR,DC,False
32,32,2018,CSK,KKR,4000,KKR,CSK,KKR,KKR,True
33,33,2018,KXIP,MI,4000,MI,KXIP,MI,MI,True
34,34,2018,RCB,CSK,5000,CSK,RCB,CSK,CSK,True
35,35,2018,DC,SRH,3000,SRH,DC,SRH,SRH,True
36,36,2018,MI,KKR,4000,KKR,MI,KKR,MI,False
37,37,2018,RR,KXIP,4000,KXIP,RR,KXIP,KXIP,True
38,38,2018,SRH,RCB,5000,RCB,SRH,RCB,SRH,False
39,39,2018,RR,KXIP,4000,KXIP,RR,KXIP,RR,False
40,40,2018,MI,KKR,4000,KKR,MI,KKR,MI,False
41,41,2018,DC,SRH,3000,SRH,DC,SRH,SRH,True
42,42,2018,CSK,RR,3000,RR,CSK,RR,RR,True
43,43,2018,KKR,KXIP,4000,KXIP,KKR,KXIP,KKR,False
44,44,2018,DC,RCB,4000,RCB,DC,RCB,RCB,True
45,45,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK,True
46,46,2018,MI,RR,3000,RR,MI,RR,RR,True
47,47,2018,KXIP,RCB,3000,RCB,KXIP,RCB,RCB,True
48,48,2018,RR,KKR,5000,KKR,RR,KKR,KKR,True
49,49,2018,MI,KXIP,5000,MI,MI,KXIP,MI,True
50,50,2018,RCB,SRH,4000,SRH,RCB,SRH,RCB,False
51,51,2018,DC,CSK,4000,CSK,DC,CSK,DC,False
52,52,2018,RR,RCB,4000,RCB,RR,RCB,RR,False
53,53,2018,SRH,KKR,3000,KKR,SRH,KKR,KKR,True
54,54,2018,DC,MI,4000,DC,DC,MI,DC,True
55,55,2018,KXIP,CSK,3000,CSK,KXIP,CSK,CSK,True
56,56,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK,True
57,57,2018,KKR,RR,4000,KKR,KKR,RR,KKR,True
58,58,2018,SRH,KKR,4000,KKR,SRH,KKR,SRH,False
59,59,2018,SRH,CSK,4000,CSK,SRH,CSK,CSK,True
60,60,2019,RCB,CSK,1000,CSK,RCB,CSK,CSK,True
61,61,2019,SRH,KKR,1000,KKR,SRH,KKR,KKR,True
62,62,2019,DC,MI,1000,MI,DC,MI,DC,False
63,63,2019,KXIP,RR,1000,RR,KXIP,RR,KXIP,False
64,64,2019,DC,CSK,3000,DC,DC,CSK,CSK,False
65,65,2019,KKR,KXIP,3000,KXIP,KKR,KXIP,KKR,False
66,66,2019,MI,RCB,3000,RCB,MI,RCB,MI,False
67,67,2019,RR,SRH,3000,SRH,RR,SRH,SRH,True
68,68,2019,MI,KXIP,3000,KXIP,MI,KXIP,KXIP,True
69,69,2019,KKR,DC,4000,DC,KKR,DC,DC,True
70,70,2019,SRH,RCB,3000,RCB,SRH,RCB,SRH,False
71,71,2019,CSK,RR,4000,RR,CSK,RR,CSK,False
72,72,2019,KXIP,DC,4000,DC,KXIP,DC,KXIP,False
73,73,2019,RCB,RR,3000,RR,RCB,RR,RR,True
74,74,2019,MI,CSK,3000,CSK,MI,CSK,MI,False
75,75,2019,DC,SRH,4000,SRH,DC,SRH,SRH,True
76,76,2019,RCB,KKR,4000,KKR,RCB,KKR,KKR,True
77,77,2019,CSK,KXIP,4000,KXIP,CSK,KXIP,CSK,False
78,78,2019,MI,SRH,4000,MI,MI,SRH,MI,True
79,79,2019,RCB,DC,5000,RCB,RCB,DC,DC,False
80,80,2019,RR,KKR,5000,KKR,RR,KKR,KKR,True
81,81,2019,SRH,KXIP,5000,SRH,SRH,KXIP,KXIP,False
82,82,2019,KKR,CSK,5000,KKR,KKR,CSK,CSK,False
83,83,2019,KXIP,MI,5000,MI,KXIP,MI,MI,True
84,84,2019,RR,CSK,5000,RR,RR,CSK,CSK,False
85,85,2019,KKR,DC,5000,DC,KKR,DC,DC,True
86,86,2019,MI,RR,4000,MI,MI,RR,RR,False
87,87,2019,KXIP,RCB,5000,KXIP,KXIP,RCB,RCB,False
88,88,2019,KKR,CSK,5000,KKR,KKR,CSK,CSK,False
89,89,2019,DC,SRH,4000,SRH,DC,SRH,DC,False
90,90,2019,RCB,MI,5000,RCB,RCB,MI,MI,False
91,91,2019,KXIP,RR,4000,RR,KXIP,RR,KXIP,False
92,92,2019,CSK,SRH,5000,SRH,CSK,SRH,SRH,True
93,93,2019,MI,DC,3000,MI,MI,DC,MI,True
94,94,2019,RCB,KKR,4000,RCB,RCB,KKR,RCB,True
95,95,2019,MI,RR,5000,MI,MI,RR,RR,False
96,96,2019,KXIP,DC,4000,DC,KXIP,DC,DC,True
97,97,2019,KKR,SRH,5000,KKR,KKR,SRH,SRH,False
98,98,2019,RCB,CSK,5000,RCB,RCB,CSK,RCB,True
99,99,2019,RR,DC,3000,DC,RR,DC,DC,True
100,100,2019,SRH,CSK,4000,SRH,SRH,CSK,CSK,False
101,101,2019,RCB,KXIP,4000,RCB,RCB,KXIP,RCB,True
102,102,2019,KKR,RR,3000,RR,KKR,RR,RR,True
103,103,2019,MI,CSK,3000,MI,MI,CSK,MI,True
104,104,2019,SRH,RR,5000,SRH,SRH,RR,RR,False
105,105,2019,DC,RCB,5000,RCB,DC,RCB,DC,False
106,106,2019,KKR,MI,5000,MI,KKR,MI,KKR,False
107,107,2019,SRH,KXIP,4000,KXIP,SRH,KXIP,SRH,False
108,108,2019,RCB,RR,3000,RR,RCB,RR,,False
109,109,2019,CSK,DC,3000,CSK,CSK,DC,CSK,True
110,110,2019,MI,SRH,3000,SRH,MI,SRH,MI,False
111,111,2019,KXIP,KKR,4000,KKR,KXIP,KKR,KKR,True
112,112,2019,RR,DC,4000,DC,RR,DC,DC,True
113,113,2019,SRH,RCB,5000,RCB,SRH,RCB,RCB,True
114,114,2019,CSK,KXIP,4000,KXIP,CSK,KXIP,KXIP,True
115,115,2019,KKR,MI,6000,MI,KKR,MI,MI,True
116,116,2019,CSK,MI,3000,MI,CSK,MI,MI,True
117,117,2019,SRH,DC,4000,SRH,SRH,DC,DC,False
118,118,2019,DC,CSK,4000,CSK,DC,CSK,CSK,True
119,119,2019,MI,CSK,4000,MI,MI,CSK,MI,True
120,120,2020,MI,CSK,1000,CSK,MI,CSK,CSK,True
121,121,2020,DC,KXIP,1000,KXIP,DC,KXIP,DC,False
122,122,2020,RCB,SRH,1000,SRH,RCB,SRH,RCB,False
123,123,2020,RR,CSK,2000,RR,RR,CSK,RR,True
124,124,2020,MI,KKR,2000,MI,MI,KKR,MI,True
125,125,2020,KXIP,RCB,3000,RCB,KXIP,RCB,KXIP,False
126,126,2020,DC,CSK,4000,DC,DC,CSK,DC,True
127,127,2020,SRH,KKR,2000,KKR,SRH,KKR,KKR,True
128,128,2020,KXIP,RR,3000,RR,KXIP,RR,RR,True
129,129,2020,RCB,MI,4000,MI,RCB,MI,RCB,False
130,130,2020,SRH,DC,4000,DC,SRH,DC,SRH,False
131,131,2020,KKR,RR,4000,RR,KKR,RR,KKR,False
132,132,2020,MI,KXIP,4000,MI,MI,KXIP,MI,True
133,133,2020,SRH,CSK,5000,SRH,SRH,CSK,SRH,True
134,134,2020,RR,RCB,4000,RCB,RR,RCB,RCB,True
135,135,2020,DC,KKR,5000,DC,DC,KKR,DC,True
136,136,2020,KXIP,CSK,4000,KXIP,KXIP,CSK,CSK,False
137,137,2020,MI,SRH,4000,MI,MI,SRH,MI,True
138,138,2020,DC,RCB,4000,DC,DC,RCB,DC,True
139,139,2020,MI,RR,5000,MI,MI,RR,MI,True
140,140,2020,KKR,CSK,5000,KKR,KKR,CSK,KKR,True
141,141,2020,SRH,KXIP,4000,KXIP,SRH,KXIP,SRH,False
142,142,2020,DC,RR,3000,RR,DC,RR,DC,False
143,143,2020,KKR,KXIP,6000,KXIP,KKR,KXIP,KKR,False
144,144,2020,RCB,CSK,4000,RCB,RCB,CSK,RCB,True
145,145,2020,SRH,RR,4000,RR,SRH,RR,RR,True
146,146,2020,DC,MI,4000,MI,DC,MI,MI,True
147,147,2020,RCB,KKR,4000,KKR,RCB,KKR,RCB,False
148,148,2020,CSK,SRH,6000,SRH,CSK,SRH,CSK,False
149,149,2020,DC,RR,4000,DC,DC,RR,DC,True
150,150,2020,RCB,KXIP,4000,RCB,RCB,KXIP,KXIP,False
151,151,2020,KKR,MI,4000,MI,KKR,MI,MI,True
152,152,2020,CSK,DC,5000,DC,CSK,DC,DC,True
153,153,2020,RR,RCB,5000,RCB,RR,RCB,RCB,True
154,154,2020,KKR,SRH,4000,SRH,KKR,SRH,KKR,False
155,155,2020,MI,KXIP,4000,MI,MI,KXIP,KXIP,False
156,156,2020,CSK,RR,4000,CSK,CSK,RR,RR,False
157,157,2020,DC,KXIP,4000,KXIP,DC,KXIP,KXIP,True
158,158,2020,KKR,RCB,4000,RCB,KKR,RCB,RCB,True
159,159,2020,RR,SRH,4000,SRH,RR,SRH,SRH,True
160,160,2020,CSK,MI,4000,CSK,CSK,MI,MI,False
161,161,2020,KKR,DC,2000,DC,KKR,DC,KKR,False
162,162,2020,KXIP,SRH,4000,KXIP,KXIP,SRH,KXIP,True
163,163,2020,MI,RR,2000,RR,MI,RR,RR,True
164,164,2020,RCB,CSK,4000,CSK,RCB,CSK,CSK,True
165,165,2020,KKR,KXIP,4000,KKR,KKR,KXIP,KXIP,False
166,166,2020,SRH,DC,5000,DC,SRH,DC,SRH,False
167,167,2020,RCB,MI,3000,RCB,RCB,MI,MI,False
