,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
636,1136561,2018,Mumbai,07-04-2018,League,DJ Bravo,Wankhede Stadium,MI,CSK,Chennai Super Kings,field,CSK,wickets,1,166,20,N,,CB Gaffaney,A Nand Kishore
637,1136562,2018,Chandigarh,08-04-2018,League,KL Rahul,Punjab Cricket Association IS Bindra Stadium,DC,KXIP,Kings XI Punjab,field,KXIP,wickets,6,167,20,N,,KN Ananthapadmanabhan,RJ Tucker
638,1136563,2018,Kolkata,08-04-2018,League,SP Narine,Eden Gardens,RCB,KKR,Kolkata Knight Riders,field,KKR,wickets,4,177,20,N,,A Deshmukh,C Shamshuddin
639,1136564,2018,Hyderabad,09-04-2018,League,S Dhawan,Rajiv Gandhi International Stadium,RR,SRH,Sunrisers Hyderabad,field,SRH,wickets,9,126,20,N,,NJ Llong,VA Kulkarni
640,1136565,2018,Chennai,10-04-2018,League,SW Billings,MA Chidambaram Stadium,KKR,CSK,Chennai Super Kings,field,CSK,wickets,5,203,20,N,,AK Chaudhary,CB Gaffaney
641,1136566,2018,Jaipur,11-04-2018,League,SV Samson,Sawai Mansingh Stadium,RR,DC,Delhi Daredevils,field,RR,runs,10,71,6,N,D/L,KN Ananthapadmanabhan,Nitin Menon
642,1136567,2018,Hyderabad,12-04-2018,League,Rashid Khan,Rajiv Gandhi International Stadium,MI,SRH,Sunrisers Hyderabad,field,SRH,wickets,1,148,20,N,,CK Nandan,NJ Llong
643,1136568,2018,Bengaluru,13-04-2018,League,UT Yadav,M.Chinnaswamy Stadium,KXIP,RCB,Royal Challengers Bangalore,field,RCB,wickets,4,156,20,N,,A Deshmukh,S Ravi
644,1136569,2018,Mumbai,14-04-2018,League,JJ Roy,Wankhede Stadium,MI,DC,Delhi Daredevils,field,DC,wickets,7,195,20,N,,KN Ananthapadmanabhan,Nitin Menon
645,1136570,2018,Kolkata,14-04-2018,League,B Stanlake,Eden Gardens,KKR,SRH,Sunrisers Hyderabad,field,SRH,wickets,5,139,20,N,,AK Chaudhary,A Nand Kishore
646,1136571,2018,Bengaluru,15-04-2018,League,SV Samson,M.Chinnaswamy Stadium,RR,RCB,Royal Challengers Bangalore,field,RR,runs,19,218,20,N,,C Shamshuddin,S Ravi
647,1136572,2018,Chandigarh,15-04-2018,League,CH Gayle,Punjab Cricket Association IS Bindra Stadium,KXIP,CSK,Chennai Super Kings,field,KXIP,runs,4,198,20,N,,CK Nandan,VA Kulkarni
648,1136573,2018,Kolkata,16-04-2018,League,N Rana,Eden Gardens,KKR,DC,Delhi Daredevils,field,KKR,runs,71,201,20,N,,AK Chaudhary,A Nand Kishore
649,1136574,2018,Mumbai,17-04-2018,League,RG Sharma,Wankhede Stadium,MI,RCB,Royal Challengers Bangalore,field,MI,runs,46,214,20,N,,Nitin Menon,RJ Tucker
650,1136575,2018,Jaipur,18-04-2018,League,N Rana,Sawai Mansingh Stadium,RR,KKR,Kolkata Knight Riders,field,KKR,wickets,7,161,20,N,,A Deshmukh,S Ravi
651,1136576,2018,Chandigarh,19-04-2018,League,CH Gayle,Punjab Cricket Association IS Bindra Stadium,KXIP,SRH,Kings XI Punjab,bat,KXIP,runs,15,194,20,N,,AK Chaudhary,NJ Llong
652,1136577,2018,Pune,20-04-2018,League,SR Watson,Maharashtra Cricket Association Stadium,CSK,RR,Rajasthan Royals,field,CSK,runs,64,205,20,N,,KN Ananthapadmanabhan,Nitin Menon
653,1136578,2018,Kolkata,21-04-2018,League,KL Rahul,Eden Gardens,KKR,KXIP,Kings XI Punjab,field,KXIP,wickets,9,125,13,N,D/L,A Deshmukh,C Shamshuddin
654,1136579,2018,Bengaluru,21-04-2018,League,AB de Villiers,M.Chinnaswamy Stadium,DC,RCB,Royal Challengers Bangalore,field,RCB,wickets,6,175,20,N,,CB Gaffaney,CK Nandan
655,1136580,2018,Hyderabad,22-04-2018,League,AT Rayudu,Rajiv Gandhi International Stadium,CSK,SRH,Sunrisers Hyderabad,field,CSK,runs,4,183,20,N,,AK Chaudhary,VA Kulkarni
656,1136581,2018,Jaipur,22-04-2018,League,JC Archer,Sawai Mansingh Stadium,MI,RR,Mumbai Indians,bat,RR,wickets,3,168,20,N,,KN Ananthapadmanabhan,RJ Tucker
657,1136582,2018,Delhi,23-04-2018,League,AS Rajpoot,Arun Jaitley Stadium,KXIP,DC,Delhi Daredevils,field,KXIP,runs,4,144,20,N,,A Nand Kishore,CK Nandan
658,1136583,2018,Mumbai,24-04-2018,League,Rashid Khan,Wankhede Stadium,SRH,MI,Mumbai Indians,field,SRH,runs,31,119,20,N,,C Shamshuddin,S Ravi
659,1136584,2018,Bengaluru,25-04-2018,League,MS Dhoni,M.Chinnaswamy Stadium,RCB,CSK,Chennai Super Kings,field,CSK,wickets,5,206,20,N,,NJ Llong,VK Sharma
660,1136585,2018,Hyderabad,26-04-2018,League,AS Rajpoot,Rajiv Gandhi International Stadium,SRH,KXIP,Kings XI Punjab,field,SRH,runs,13,133,20,N,,CK Nandan,YC Barde
